Meter_Id,Date,Region_Code,Dwelling_Type,Num_Occupants,House_Area (sqft),Appliance_Score,Connected_Load(kw),Temperature_C,Humidity (%),Expected_Energy(kwh),Actual_Energy(kwh),Usage_Deviation(%),Cluster_Avg_Energy(kwh),Abnormal_Usage
IN-KL-ELC-47405775,21-01-2023,IN_KL_ERN,Apartment,2,1840,6,4.4,33.27,56.45,11.33 kWh,null,67.88,16.61,1
IN-KL-ELC-19196471,12-01-2023,IN_KL_TVM,Apartment,4,1080,7,5.09,18.38,68.2,11.45 kWh,12.2 kWh,6.55,17.26,1
IN-KL-ELC-27773185,04-01-2023,IN_KL_ALP,Apartment,6,2752,17,5.14,29.53,59.13,19.47 kWh,null,76.6,16.47,1
IN-KL-ELC-45032632,17-01-2023,IN_KL_ALP,Apartment,3,2222,17,6.86,24.62,67.85,16.18 kWh,28.143928347166383 kWh,73.94,16.47,1
IN-KL-ELC-11022661,02-01-2023,IN_KL_ERN,Independent House,6,1828,13,5.67,28.52,53.13,18.19 kWh,25.76202729600808 kWh,41.63,16.43,1
IN-KL-ELC-11063908,10-01-2023,IN_KL_ALP,Apartment,4,1364,9,7.04,30.37,62.11,16.12 kWh,15.32 kWh,-4.96,16.47,0
IN-KL-ELC-34698377,26-01-2023,IN_KL_ERN,Independent House,3,1330,18,3.19,31.04,54.48,null,17.17 kWh,11.28,16.43,0
IN-KL-ELC-28743962,25-01-2023,IN_KL_ERN,Independent House,6,1543,15,5.27,30.7,52.59,19.2 kWh,18.26 kWh,-4.9,16.43,0
IN-KL-ELC-89560912,20-01-2023,IN_KL_ALP,Apartment,4,1618,19,3.41,30.16,75.88,null,17.55 kWh,4.15,16.47,0
IN-KL-ELC-31295740,20-01-2023,IN_KL_ALP,Independent House,4,1454,12,7.78,30.07,57.11,17.65 kWh,17.12 kWh,-3,17.83,0
IN-KL-ELC-91572504,28-01-2023,IN_KL_ERN,Apartment,4,1085,15,5.79,30.3,54.18,17.27 kWh,16.23 kWh,-6.02,16.61,0
IN-KL-ELC-69429201,22-01-2023,IN_KL_ERN,Villa,2,749,12,5.97,30.46,77.39,14.17 kWh,27.45761780824281 kWh,93.77,16.28,1
IN-KL-ELC-82355294,10-01-2023,IN_KL_ERN,Apartment,3,1782,14,7.59,32.45,71.86,17.72 kWh,24.369641083601604 kWh,37.53,16.61,1
IN-KL-ELC-96832271,29-01-2023,IN_KL_ALP,Independent House,2,2656,19,2.51,27.16,62.83,13.34 kWh,17.093046877073842 kWh,28.13,17.83,1
IN-KL-ELC-99631077,22-01-2023,IN_KL_ALP,Apartment,4,1597,14,7.89,36.26,74.19,20.15 kWh,21.84 kWh,8.39,16.47,1
IN-KL-ELC-13197583,05-01-2023,IN_KL_ERN,Apartment,6,1997,6,4.61,35.46,58.21,16.62 kWh,19.22 kWh,15.64,16.61,0
IN-KL-ELC-34712069,27-01-2023,IN_KL_ALP,Apartment,4,2523,21,2.53,27.11,69.34,16.12 kWh,16.53 kWh,2.54,16.47,0
IN-KL-ELC-94473474,22-01-2023,IN_KL_ERN,Villa,1,606,21,6.07,35.89,73.08,17.63 kWh,25.791305521564308 kWh,46.29,16.28,1
IN-KL-ELC-64818061,09-01-2023,IN_KL_ERN,Independent House,4,2382,14,6.73,25.16,65.33,16.27 kWh,18.93 kWh,16.35,16.43,0
IN-KL-ELC-31690538,21-01-2023,IN_KL_TVM,Apartment,4,1785,20,7.86,35.62,76.95,22.22 kWh,22.97 kWh,3.38,17.26,1
IN-KL-ELC-68343808,18-01-2023,IN_KL_ERN,Apartment,2,2135,8,5.8,27.18,54.94,12.02 kWh,16.067434461273354 kWh,33.67,16.61,1
IN-KL-ELC-70260372,08-01-2023,IN_KL_ERN,Independent House,5,1054,8,4.03,30.69,74.38,14.67 kWh,14.47 kWh,-1.36,16.43,0
IN-KL-ELC-88593759,21-01-2023,IN_KL_ERN,Villa,2,2287,13,7.17,30.22,47.09,15.38 kWh,15.78 kWh,2.6,16.28,0
IN-KL-ELC-74114522,21-01-2023,IN_KL_ERN,Apartment,1,1440,9,5.98,26.69,73.35,11.34 kWh,12.66 kWh,11.64,16.61,0
IN-KL-ELC-97733707,08-01-2023,IN_KL_ALP,Apartment,3,2652,20,5.31,20.17,67.52,14.9 kWh,24.460390646453206 kWh,64.16,16.47,1
IN-KL-ELC-11824099,24-01-2023,IN_KL_TVM,Independent House,1,964,13,7.41,27.33,45.44,13.83 kWh,13.56 kWh,-1.95,16.89,0
IN-KL-ELC-59571121,21-01-2023,IN_KL_ALP,Independent House,4,2160,19,7.58,34.03,57.82,21.14 kWh,20.41 kWh,-3.45,17.83,0
IN-KL-ELC-60116792,23-01-2023,IN_KL_TVM,Independent House,2,2570,20,3.68,26.36,67.64,14.33 kWh,22.073019524580943 kWh,54.03,16.89,1
IN-KL-ELC-57261281,27-01-2023,IN_KL_ALP,Apartment,1,1776,14,3.77,35.55,51.24,13.03 kWh,12.18 kWh,-6.52,16.47,0
IN-KL-ELC-28177529,27-01-2023,IN_KL_TVM,Independent House,4,2653,11,3.3,33.82,69.66,14.72 kWh,14.64 kWh,-0.54,16.89,0
IN-KL-ELC-80163233,18-01-2023,IN_KL_ALP,Independent House,1,494,11,7.08,30.97,49.61,13.66 kWh,13.48 kWh,-1.32,17.83,0
IN-KL-ELC-21573061,02-01-2023,IN_KL_ERN,Independent House,1,2578,6,5.15,30.9,66.68,10.4 kWh,13.12 kWh,26.15,16.43,1
IN-KL-ELC-46350732,05-01-2023,IN_KL_ERN,Villa,4,2210,10,4.78,32.22,45.58,15.17 kWh,26.529751981748156 kWh,74.88,16.28,1
IN-KL-ELC-64818061,10-01-2023,IN_KL_ERN,Independent House,4,2382,14,6.73,38.22,73.53,19.71 kWh,28.836504102376388 kWh,46.3,16.43,1
IN-KL-ELC-86586193,18-01-2023,IN_KL_ERN,Independent House,1,1121,11,3.94,22.47,51.74,9.85 kWh,10.16 kWh,3.15,16.43,1
IN-KL-ELC-73630255,09-01-2023,IN_KL_ALP,Villa,1,1963,6,3.38,27.72,83.48,8.63 kWh,11.522987404214266 kWh,33.52,16.26,1
IN-KL-ELC-66129276,16-01-2023,IN_KL_ALP,Apartment,3,2673,21,6.26,24.49,71.22,17.01 kWh,18.54 kWh,8.99,16.47,0
IN-KL-ELC-85075398,02-01-2023,IN_KL_ALP,Apartment,6,845,7,6.52,25.54,70.54,15.99 kWh,14.92 kWh,-6.69,16.47,0
IN-KL-ELC-22704224,09-01-2023,IN_KL_TVM,Apartment,3,476,16,3.31,33.66,68.78,15.38 kWh,16.62 kWh,8.06,17.26,0
IN-KL-ELC-89650018,03-01-2023,IN_KL_TVM,Independent House,4,528,16,7.35,37.87,82.23,20.92 kWh,18.59 kWh,-11.14,16.89,0
IN-KL-ELC-54399325,25-01-2023,IN_KL_ERN,Independent House,3,906,7,7.79,28.17,52.08,14.39 kWh,14.4 kWh,0.07,16.43,0
IN-KL-ELC-95979298,05-01-2023,IN_KL_ERN,Villa,3,511,12,2.95,29.49,75.33,12.81 kWh,null,58.87,16.28,1
IN-KL-ELC-94272884,20-01-2023,IN_KL_ALP,Apartment,1,896,21,5.61,36.77,46.96,17.47 kWh,18.74 kWh,7.27,16.47,0
IN-KL-ELC-38289970,22-01-2023,IN_KL_TVM,Apartment,1,2029,12,4.03,27.17,50.27,11.03 kWh,11.11 kWh,0.73,17.26,1
IN-KL-ELC-32146342,27-01-2023,IN_KL_TVM,Apartment,5,1080,18,3.74,31.08,53.82,18.09 kWh,16.72 kWh,-7.57,17.26,0
IN-KL-ELC-66694772,26-01-2023,IN_KL_TVM,Independent House,1,1962,14,6.9,28.31,57.78,14.01 kWh,11.85 kWh,-15.42,16.89,1
IN-KL-ELC-31690538,18-01-2023,IN_KL_TVM,Apartment,4,1785,20,7.86,24.37,68.72,18.76 kWh,19.3 kWh,2.88,17.26,0
IN-KL-ELC-97553105,18-01-2023,IN_KL_TVM,Independent House,6,2605,13,3.52,30.44,53.86,17.1 kWh,32.39091505275541 kWh,89.42,16.89,1
IN-KL-ELC-96832271,10-01-2023,IN_KL_ALP,Independent House,2,2656,19,2.51,28.95,58.18,13.71 kWh,15.3 kWh,11.6,17.83,0
IN-KL-ELC-37411538,04-01-2023,IN_KL_TVM,Apartment,3,1837,6,7.27,31.5,54.49,14.37 kWh,27.136055684430847 kWh,88.84,17.26,1
IN-KL-ELC-57403818,09-01-2023,IN_KL_ERN,Independent House,4,2389,10,2.99,24.27,53.96,12.2 kWh,11.25 kWh,-7.79,16.43,1
IN-KL-ELC-89650018,18-01-2023,IN_KL_TVM,Independent House,4,528,16,7.35,37.66,75.45,20.86 kWh,19.82 kWh,-4.99,16.89,0
IN-KL-ELC-73630255,08-01-2023,IN_KL_ALP,Villa,1,1963,6,3.38,22.86,64.93,7.98 kWh,null,1.25,16.26,1
IN-KL-ELC-66925143,15-01-2023,IN_KL_TVM,Independent House,6,2681,7,7.13,33.83,66.73,18.61 kWh,18.18 kWh,-2.31,16.89,0
IN-KL-ELC-11744587,29-01-2023,IN_KL_ERN,Independent House,3,2004,6,6.42,25.6,50.59,12.53 kWh,11.58 kWh,-7.58,16.43,0
IN-KL-ELC-53437589,22-01-2023,IN_KL_ERN,Apartment,3,1834,9,6.8,33.57,69.33,15.54 kWh,26.41608385716129 kWh,69.99,16.61,1
IN-KL-ELC-49701826,09-01-2023,IN_KL_ALP,Independent House,6,2722,8,3.13,33.7,56.94,15.78 kWh,21.988701585733562 kWh,39.35,17.83,1
IN-KL-ELC-44469199,30-01-2023,IN_KL_TVM,Apartment,4,1802,21,7.54,37.05,60.5,22.79 kWh,25.35 kWh,11.23,17.26,1
IN-KL-ELC-38968944,23-01-2023,IN_KL_ERN,Apartment,6,2655,20,2.52,34.46,58.15,19.94 kWh,31.876589335527143 kWh,59.86,16.61,1
IN-KL-ELC-22187937,12-01-2023,IN_KL_ERN,Apartment,1,2787,18,5.41,33.04,71.05,15.33 kWh,13.76 kWh,-10.24,16.61,0
IN-KL-ELC-60241510,22-01-2023,IN_KL_ERN,Apartment,4,1452,9,6.63,28.64,69.76,15.4 kWh,26.02236773568551 kWh,68.98,16.61,1
IN-KL-ELC-61826522,27-01-2023,IN_KL_ALP,Independent House,1,1393,21,6.7,31.87,81.76,17.14 kWh,null,2.74,17.83,1
IN-KL-ELC-86586193,25-01-2023,IN_KL_ERN,Independent House,1,1121,11,3.94,29.63,78.37,11.04 kWh,null,52.91,16.43,1
IN-KL-ELC-69429201,11-01-2023,IN_KL_ERN,Villa,2,749,12,5.97,27.05,84.91,13.45 kWh,15.37 kWh,14.28,16.28,0
IN-KL-ELC-77385755,20-01-2023,IN_KL_TVM,Apartment,4,484,19,6.29,30.33,48.21,19.06 kWh,19.0 kWh,-0.31,17.26,0
IN-KL-ELC-86586193,16-01-2023,IN_KL_ERN,Independent House,1,1121,11,3.94,27.34,66.99,10.66 kWh,9.74 kWh,-8.63,16.43,1
IN-KL-ELC-67217429,21-01-2023,IN_KL_TVM,Independent House,1,901,12,6.19,35.49,56.5,14.22 kWh,14.36 kWh,0.98,16.89,0
IN-KL-ELC-38289970,20-01-2023,IN_KL_TVM,Apartment,1,2029,12,4.03,32.25,74.77,11.91 kWh,11.39 kWh,-4.37,17.26,1
IN-KL-ELC-58776490,09-01-2023,IN_KL_ALP,Apartment,1,679,14,7.14,29.65,78.01,14.48 kWh,21.83035144692842 kWh,50.76,16.47,1
IN-KL-ELC-83633639,13-01-2023,IN_KL_TVM,Villa,4,1490,9,2.88,34.51,69.75,13.78 kWh,18.908272105983745 kWh,37.22,16.02,1
IN-KL-ELC-85075398,27-01-2023,IN_KL_ALP,Apartment,6,845,7,6.52,29.54,59.46,17.02 kWh,17.01 kWh,-0.06,16.47,0
IN-KL-ELC-57223180,26-01-2023,IN_KL_TVM,Independent House,5,1213,16,4.88,26.84,68.79,17.11 kWh,16.81 kWh,-1.75,16.89,0
IN-KL-ELC-94272884,01-01-2023,IN_KL_ALP,Apartment,1,896,21,5.61,32.42,81.25,16.43 kWh,15.19 kWh,-7.55,16.47,0
IN-KL-ELC-26306854,11-01-2023,IN_KL_ALP,Independent House,5,2616,11,7.08,29.16,52.16,17.64 kWh,18.26 kWh,3.51,17.83,0
IN-KL-ELC-24470126,05-01-2023,IN_KL_TVM,Apartment,3,1902,19,7.82,37.07,76.31,21.03 kWh,21.13 kWh,0.48,17.26,0
IN-KL-ELC-73898526,14-01-2023,IN_KL_TVM,Independent House,5,1725,11,7.14,39.86,64.12,20.55 kWh,19.46 kWh,-5.3,16.89,0
IN-KL-ELC-36971038,07-01-2023,IN_KL_ERN,Independent House,3,1607,20,5.13,24.72,48.2,15.97 kWh,16.96 kWh,6.2,16.43,0
IN-KL-ELC-68860336,25-01-2023,IN_KL_ERN,Independent House,1,1118,9,7.84,30.51,47.73,13.43 kWh,13.1 kWh,-2.46,16.43,0
IN-KL-ELC-87487613,02-01-2023,IN_KL_TVM,Apartment,1,1983,12,4.51,27.07,64.15,11.36 kWh,12.36 kWh,8.8,17.26,0
IN-KL-ELC-87103622,23-01-2023,IN_KL_ERN,Villa,5,2637,13,5.22,28.29,81.58,16.72 kWh,23.24045491741319 kWh,39,16.28,1
IN-KL-ELC-97994143,25-01-2023,IN_KL_ERN,Apartment,1,1263,9,3.24,29.52,60.89,null,11.61 kWh,18.35,16.61,1
IN-KL-ELC-31013601,02-01-2023,IN_KL_TVM,Villa,6,1638,16,4.77,29.64,65.98,null,null,-3.34,16.02,1
IN-KL-ELC-69251424,27-01-2023,IN_KL_ALP,Apartment,5,1037,16,4.19,33.81,84.24,18.44 kWh,16.05 kWh,-12.96,16.47,0
IN-KL-ELC-34519998,09-01-2023,IN_KL_ERN,Independent House,3,2009,9,7.2,27.21,55.59,14.42 kWh,17.392962735955635 kWh,20.62,16.43,1
IN-KL-ELC-88593759,10-01-2023,IN_KL_ERN,Villa,2,2287,13,7.17,25.31,83.03,14.25 kWh,15.7 kWh,10.18,16.28,0
IN-KL-ELC-92687993,04-01-2023,IN_KL_ALP,Apartment,3,1273,16,6.04,30.87,66.22,16.85 kWh,17.9 kWh,6.23,16.47,0
IN-KL-ELC-83561788,01-01-2023,IN_KL_TVM,Apartment,3,2229,16,7.43,25.76,80.36,16.55 kWh,25.907944481645153 kWh,56.54,17.26,1
IN-KL-ELC-48039180,29-01-2023,IN_KL_ALP,Independent House,4,574,11,7.77,29.74,82.93,17.21 kWh,22.496246404978326 kWh,30.72,17.83,1
IN-KL-ELC-39477221,11-01-2023,IN_KL_ERN,Apartment,4,503,21,7.72,16.69,53.91,16.6 kWh,24.86784025632163 kWh,49.81,16.61,1
IN-KL-ELC-45032632,05-01-2023,IN_KL_ALP,Apartment,3,2222,17,6.86,33.18,52.38,18.43 kWh,20.4 kWh,10.69,16.47,0
IN-KL-ELC-58140776,30-01-2023,IN_KL_ERN,Villa,6,1760,21,3.97,30.58,70.22,20.3 kWh,25.844934241898233 kWh,27.31,16.28,1
IN-KL-ELC-23654327,05-01-2023,IN_KL_ALP,Apartment,5,882,18,5.95,28.22,45.35,18.94 kWh,18.54 kWh,-2.11,16.47,0
IN-KL-ELC-56920957,07-01-2023,IN_KL_ERN,Apartment,1,2256,13,5.17,25.74,70.59,11.91 kWh,19.610864745481308 kWh,64.66,16.61,1
IN-KL-ELC-57261281,02-01-2023,IN_KL_ALP,Apartment,1,1776,14,3.77,31.9,45.5,12.37 kWh,17.992325083597528 kWh,45.45,16.47,1
IN-KL-ELC-51118982,24-01-2023,IN_KL_ALP,Independent House,5,2365,21,5.35,24.88,76.46,18.52 kWh,17.16 kWh,-7.34,17.83,0
IN-KL-ELC-88053158,13-01-2023,IN_KL_ALP,Apartment,5,1052,7,5.22,28.59,77.88,14.75 kWh,16.87 kWh,14.37,16.47,0
IN-KL-ELC-51224449,14-01-2023,IN_KL_ALP,Independent House,5,950,20,6.09,32.66,59.63,21.08 kWh,30.134653089721464 kWh,42.95,17.83,1
IN-KL-ELC-95979298,13-01-2023,IN_KL_ERN,Villa,3,511,12,2.95,29.03,53.26,12.73 kWh,17.575989818524825 kWh,38.07,16.28,1
IN-KL-ELC-54818514,30-01-2023,IN_KL_TVM,Apartment,4,2273,8,4.16,34.28,59.72,14.39 kWh,15.73 kWh,9.31,17.26,0
IN-KL-ELC-19889775,22-01-2023,IN_KL_ERN,Apartment,1,1963,10,7.11,38.66,58.77,14.84 kWh,24.791937552381587 kWh,67.06,16.61,1
IN-KL-ELC-44469199,09-01-2023,IN_KL_TVM,Apartment,4,1802,21,7.54,30.76,58.34,20.84 kWh,31.48779415829663 kWh,51.09,17.26,1
IN-KL-ELC-57752628,17-01-2023,IN_KL_TVM,Independent House,3,2777,7,5.09,28.76,49.6,12.53 kWh,15.07349986816539 kWh,20.3,16.89,1
IN-KL-ELC-23402388,11-01-2023,IN_KL_TVM,Independent House,4,2441,21,6.64,30.97,70.17,20.22 kWh,20.54 kWh,1.58,16.89,0
IN-KL-ELC-44179469,06-01-2023,IN_KL_ERN,Apartment,1,716,21,7.5,31.29,75.54,17.61 kWh,16.78 kWh,-4.71,16.61,0
IN-KL-ELC-77037468,29-01-2023,IN_KL_ALP,Villa,1,1609,21,7.4,31.37,70.81,17.55 kWh,18.47 kWh,5.24,16.26,0
IN-KL-ELC-74974591,06-01-2023,IN_KL_ERN,Apartment,6,1762,6,7.17,29.1,62.1,17.04 kWh,24.146187428500816 kWh,41.7,16.61,1
IN-KL-ELC-94107124,25-01-2023,IN_KL_TVM,Independent House,3,1980,7,6.32,30.88,54.8,13.87 kWh,12.97 kWh,-6.49,16.89,0
IN-KL-ELC-68639880,18-01-2023,IN_KL_TVM,Independent House,4,1871,17,6.97,28.6,53.82,18.38 kWh,17.0 kWh,-7.51,16.89,0
IN-KL-ELC-18259127,25-01-2023,IN_KL_ALP,Apartment,4,1173,10,5.58,24,83.52,13.91 kWh,15.86 kWh,14.02,16.47,0
IN-KL-ELC-31295740,07-01-2023,IN_KL_ALP,Independent House,4,1454,12,7.78,29.96,45.47,17.62 kWh,24.289108344313387 kWh,37.85,17.83,1
IN-KL-ELC-89560912,04-01-2023,IN_KL_ALP,Apartment,4,1618,19,3.41,25.83,78.66,15.76 kWh,null,65.98,16.47,1
IN-KL-ELC-86565454,21-01-2023,IN_KL_TVM,Independent House,4,1513,20,7.66,33.01,69.38,null,20.55 kWh,-3.34,16.89,0
IN-KL-ELC-30582252,09-01-2023,IN_KL_TVM,Apartment,4,2234,13,3.13,34.41,71.72,15.46 kWh,14.85 kWh,-3.95,17.26,0
IN-KL-ELC-96449063,22-01-2023,IN_KL_TVM,Apartment,6,1218,20,5.2,27.4,60.09,19.89 kWh,35.749496824401206 kWh,79.74,17.26,1
IN-KL-ELC-68897751,16-01-2023,IN_KL_TVM,Apartment,5,2084,17,4.3,33.2,83.8,18.73 kWh,27.021556322949543 kWh,44.27,17.26,1
IN-KL-ELC-42948810,03-01-2023,IN_KL_ERN,Independent House,1,1254,16,5.82,27.91,76.02,13.82 kWh,12.51 kWh,-9.48,16.43,0
IN-KL-ELC-39857022,10-01-2023,IN_KL_ALP,Independent House,6,788,6,3.92,28.53,71.3,14.51 kWh,23.830415680425002 kWh,64.23,17.83,1
IN-KL-ELC-91636239,10-01-2023,IN_KL_ALP,Apartment,5,471,10,3.51,26.29,69.94,14.01 kWh,15.38 kWh,9.78,16.47,0
IN-KL-ELC-60604864,29-01-2023,IN_KL_ERN,Villa,4,2704,21,2.64,30.95,54.09,17.17 kWh,30.993639516817844 kWh,80.51,16.28,1
IN-KL-ELC-57752628,27-01-2023,IN_KL_TVM,Independent House,3,2777,7,5.09,29.98,71.19,12.76 kWh,14.1 kWh,10.5,16.89,0
IN-KL-ELC-77596010,14-01-2023,IN_KL_ERN,Apartment,1,2316,6,2.69,29.59,77.23,8.37 kWh,9.51 kWh,13.62,16.61,1
IN-KL-ELC-85195758,04-01-2023,IN_KL_TVM,Apartment,2,1932,21,6.24,32.14,67.31,17.99 kWh,17.33 kWh,-3.67,17.26,0
IN-KL-ELC-95024504,07-01-2023,IN_KL_ALP,Apartment,6,1523,16,7.42,28.93,76.15,20.63 kWh,20.96 kWh,1.6,16.47,0
IN-KL-ELC-76472409,19-01-2023,IN_KL_TVM,Villa,1,788,12,3.63,31.37,46.2,11.45 kWh,17.784582074710023 kWh,55.32,16.02,1
IN-KL-ELC-58847825,01-01-2023,IN_KL_ERN,Apartment,1,1280,11,6.44,25.75,50.9,12.15 kWh,null,-1.89,16.61,1
IN-KL-ELC-94107124,16-01-2023,IN_KL_TVM,Independent House,3,1980,7,6.32,25.65,71.43,12.8 kWh,21.283146890446947 kWh,66.27,16.89,1
IN-KL-ELC-42410429,09-01-2023,IN_KL_ERN,Apartment,4,2455,7,2.57,29.48,64.99,11.88 kWh,13.58 kWh,14.31,16.61,0
IN-KL-ELC-39176775,30-01-2023,IN_KL_ERN,Independent House,6,2654,12,2.98,24.41,49.82,14.87 kWh,21.194942539806195 kWh,42.53,16.43,1
IN-KL-ELC-76999375,07-01-2023,IN_KL_ERN,Villa,2,574,16,4.06,30.23,70.79,14.09 kWh,null,-4.12,16.28,1
IN-KL-ELC-86401151,26-01-2023,IN_KL_TVM,Apartment,2,1498,15,3.46,26.85,66.92,12.62 kWh,20.104763575087304 kWh,59.31,17.26,1
IN-KL-ELC-27833222,26-01-2023,IN_KL_TVM,Independent House,6,2682,19,6.01,34.5,71.2,22.37 kWh,22.45 kWh,0.36,16.89,1
IN-KL-ELC-25353404,24-01-2023,IN_KL_TVM,Independent House,1,922,12,5.88,27.99,69.35,12.52 kWh,12.05 kWh,-3.75,16.89,0
IN-KL-ELC-19196471,18-01-2023,IN_KL_TVM,Apartment,4,1080,7,5.09,39.26,66.96,15.79 kWh,15.77 kWh,-0.13,17.26,0
IN-KL-ELC-31295740,08-01-2023,IN_KL_ALP,Independent House,4,1454,12,7.78,36.96,66.58,19.48 kWh,25.112162580143643 kWh,28.91,17.83,1
IN-KL-ELC-31401160,17-01-2023,IN_KL_ERN,Independent House,2,1915,16,6.81,37.54,57.55,17.93 kWh,28.862901339192412 kWh,60.98,16.43,1
IN-KL-ELC-24656912,02-01-2023,IN_KL_TVM,Apartment,5,857,16,6.15,33.89,80.63,20.02 kWh,19.45 kWh,-2.85,17.26,0
IN-KL-ELC-24122558,07-01-2023,IN_KL_TVM,Apartment,5,2676,11,3.1,30.32,79.83,14.95 kWh,16.06 kWh,7.42,17.26,0
IN-KL-ELC-53437589,09-01-2023,IN_KL_ERN,Apartment,3,1834,9,6.8,22.2,73.85,13.03 kWh,18.016001655136257 kWh,38.27,16.61,1
IN-KL-ELC-20819434,29-01-2023,IN_KL_ERN,Independent House,3,2684,14,4.01,24.47,70.38,13.21 kWh,13.6 kWh,2.95,16.43,0
IN-KL-ELC-30481737,09-01-2023,IN_KL_ERN,Independent House,6,1967,7,7.3,30.22,58.41,17.78 kWh,18.29 kWh,2.87,16.43,0
IN-KL-ELC-70260372,10-01-2023,IN_KL_ERN,Independent House,5,1054,8,4.03,29.43,81.01,14.4 kWh,17.515785607776202 kWh,21.64,16.43,1
IN-KL-ELC-71807372,10-01-2023,IN_KL_ALP,Apartment,6,1129,11,5.78,36.13,47.95,19.64 kWh,19.55 kWh,-0.46,16.47,0
IN-KL-ELC-50289690,03-01-2023,IN_KL_ALP,Independent House,2,1200,14,5.6,29.66,67.41,14.43 kWh,15.36 kWh,6.44,17.83,0
IN-KL-ELC-87381788,10-01-2023,IN_KL_TVM,Apartment,1,2433,9,6.06,35.98,78.27,13.07 kWh,16.38323257572357 kWh,25.35,17.26,1
IN-KL-ELC-99631077,14-01-2023,IN_KL_ALP,Apartment,4,1597,14,7.89,30.41,61.41,18.53 kWh,18.41 kWh,-0.65,16.47,0
IN-KL-ELC-75763311,06-01-2023,IN_KL_TVM,Villa,2,2736,10,7.84,24.17,45.68,13.49 kWh,13.62 kWh,0.96,16.02,0
IN-KL-ELC-18259127,23-01-2023,IN_KL_ALP,Apartment,4,1173,10,5.58,31.29,72.33,15.58 kWh,16.29 kWh,4.56,16.47,0
IN-KL-ELC-65870776,06-01-2023,IN_KL_ALP,Independent House,3,2512,17,7.86,31.96,54.21,18.89 kWh,19.69 kWh,4.24,17.83,0
IN-KL-ELC-84464171,08-01-2023,IN_KL_ALP,Independent House,1,1498,19,6.14,30.98,45.65,15.78 kWh,15.48 kWh,-1.9,17.83,0
IN-KL-ELC-91636239,06-01-2023,IN_KL_ALP,Apartment,5,471,10,3.51,28.14,45.38,14.42 kWh,14.97 kWh,3.81,16.47,0
IN-KL-ELC-27833222,08-01-2023,IN_KL_TVM,Independent House,6,2682,19,6.01,35.39,69.12,22.65 kWh,24.46 kWh,7.99,16.89,1
IN-KL-ELC-39176775,16-01-2023,IN_KL_ERN,Independent House,6,2654,12,2.98,30.02,75.71,16.24 kWh,14.2 kWh,-12.56,16.43,0
IN-KL-ELC-77157976,25-01-2023,IN_KL_ALP,Villa,1,796,13,6.45,22.45,49.96,12.14 kWh,12.11 kWh,-0.25,16.26,0
IN-KL-ELC-96802592,29-01-2023,IN_KL_ALP,Independent House,4,918,21,2.51,27.2,77.23,16.12 kWh,null,-3.23,17.83,1
IN-KL-ELC-11819825,29-01-2023,IN_KL_ERN,Apartment,4,605,13,7.36,41.74,45.76,20.78 kWh,20.74 kWh,-0.19,16.61,0
IN-KL-ELC-13631731,24-01-2023,IN_KL_ALP,Apartment,3,1207,9,3.03,31.27,78.35,12.15 kWh,12.82 kWh,5.51,16.47,0
IN-KL-ELC-72602002,18-01-2023,IN_KL_ALP,Villa,3,2543,7,3.68,27.19,80.23,11.22 kWh,12.34 kWh,9.98,16.26,0
IN-KL-ELC-34699748,16-01-2023,IN_KL_ERN,Independent House,1,2168,13,4.28,30.73,46.03,12.19 kWh,18.677264140785848 kWh,53.22,16.43,1
IN-KL-ELC-11739503,08-01-2023,IN_KL_ERN,Apartment,2,866,21,6.44,25.64,66.96,16.43 kWh,32.379006419365076 kWh,97.07,16.61,1
IN-KL-ELC-62801448,02-01-2023,IN_KL_ALP,Independent House,5,1750,16,7.82,37.18,50.2,22.34 kWh,23.23 kWh,3.98,17.83,1
IN-KL-ELC-65873763,03-01-2023,IN_KL_ERN,Apartment,3,513,9,5.83,25.15,54.91,13.0 kWh,13.82 kWh,6.31,16.61,0
IN-KL-ELC-86684493,05-01-2023,IN_KL_ALP,Independent House,5,2781,14,3.77,30.58,45.67,16.57 kWh,26.37870182033453 kWh,59.2,17.83,1
IN-KL-ELC-11063908,07-01-2023,IN_KL_ALP,Apartment,4,1364,9,7.04,30.14,70.51,16.06 kWh,21.03366446844865 kWh,30.97,16.47,1
IN-KL-ELC-56602744,05-01-2023,IN_KL_TVM,Independent House,5,814,13,6.8,23.87,68.97,16.66 kWh,17.53 kWh,5.22,16.89,0
IN-KL-ELC-52308792,05-01-2023,IN_KL_ERN,Independent House,5,1614,17,6.43,27.94,76.93,18.87 kWh,18.6 kWh,-1.43,16.43,0
IN-KL-ELC-77385755,03-01-2023,IN_KL_TVM,Apartment,4,484,19,6.29,31.29,69.41,19.33 kWh,34.51277067286868 kWh,78.55,17.26,1
IN-KL-ELC-13197583,23-01-2023,IN_KL_ERN,Apartment,6,1997,6,4.61,27.59,65.8,14.8 kWh,16.85 kWh,13.85,16.61,0
IN-KL-ELC-85075398,12-01-2023,IN_KL_ALP,Apartment,6,845,7,6.52,31.81,73.52,17.6 kWh,16.55 kWh,-5.97,16.47,0
IN-KL-ELC-19889775,10-01-2023,IN_KL_ERN,Apartment,1,1963,10,7.11,31.25,76.96,13.38 kWh,13.09 kWh,-2.17,16.61,0
